Sample_dph,Group,Tissue,Individual,Replicate,Conc_ng/ul,OD_450_nm,
,NC,,,1,0,0.023,
,NC,,,2,0,0.029,
,PC_1,,,1,0.01,0.114,
,PC_1,,,2,0.01,0.104,
,PC_2,,,1,0.02,0.246,
,PC_2,,,2,0.02,0.252,
,PC_3,,,1,0.05,0.437,
,PC_3,,,2,0.05,0.38,
,PC_4,,,1,0.1,0.874,
,PC_4,,,2,0.1,0.893,
,PC_5,,,1,0.2,1.665,
,PC_5,,,2,0.2,1.52,
40,Control,brain,1,1,300,0.157,
40,Control,brain,1,2,300,0.17,
40,Control,brain,2,1,300,0.159,
40,Control,brain,2,2,300,0.149,
40,Control,brain,3,1,300,0.131,
40,Control,brain,3,2,300,0.134,
86,Td,brain,1,1,300,0.142,
86,Td,brain,1,2,300,0.145,
86,Td,brain,2,1,300,0.155,
86,Td,brain,2,2,300,0.144,
86,Td,brain,3,1,300,0.155,
86,Td,brain,3,2,300,0.138,
140,Td,brain,1,1,300,0.138,
140,Td,brain,1,2,300,0.146,
140,Td,brain,2,1,300,0.135,
140,Td,brain,2,2,300,0.151,
140,Td,brain,3,1,300,0.14,
140,Td,brain,3,2,300,0.146,
188,Td,brain,1,1,300,0.149,
188,Td,brain,1,2,300,0.154,
188,Td,brain,2,1,300,0.134,
188,Td,brain,2,2,300,0.144,
188,Td,brain,3,1,300,0.143,
188,Td,brain,3,2,300,0.145,
86,Ti,brain,1,1,300,0.13,
86,Ti,brain,1,2,300,0.139,
86,Ti,brain,2,1,300,0.143,
86,Ti,brain,2,2,300,0.135,
86,Ti,brain,3,1,300,0.149,
86,Ti,brain,3,2,300,0.146,
140,Ti,brain,1,1,300,0.163,
140,Ti,brain,1,2,300,0.171,
140,Ti,brain,2,1,300,0.155,
140,Ti,brain,2,2,300,0.152,
140,Ti,brain,3,1,300,0.158,
140,Ti,brain,3,2,300,0.166,
188,Ti,brain,1,1,300,0.177,
188,Ti,brain,1,2,300,0.164,
188,Ti,brain,2,1,300,0.181,
188,Ti,brain,2,2,300,0.183,
188,Ti,brain,3,1,300,0.16,
188,Ti,brain,3,2,300,0.168,
40,Control,muscle,1,1,300,0.145,
40,Control,muscle,1,2,300,0.15,
40,Control,muscle,2,1,300,0.17,
40,Control,muscle,2,2,300,0.171,
40,Control,muscle,3,1,300,0.159,
40,Control,muscle,3,2,300,0.152,
86,Td,muscle,1,1,300,0.149,
86,Td,muscle,1,2,300,0.141,
86,Td,muscle,2,1,300,0.153,
86,Td,muscle,2,2,300,0.143,
86,Td,muscle,3,1,300,0.145,
86,Td,muscle,3,2,300,0.148,
140,Td,muscle,1,1,300,0.127,
140,Td,muscle,1,2,300,0.129,
140,Td,muscle,2,1,300,0.128,
140,Td,muscle,2,2,300,0.132,
140,Td,muscle,3,1,300,0.122,
140,Td,muscle,3,2,300,0.127,
188,Td,muscle,1,1,300,0.133,
188,Td,muscle,1,2,300,0.13,
188,Td,muscle,2,1,300,0.136,
188,Td,muscle,2,2,300,0.14,
188,Td,muscle,3,1,300,0.129,
188,Td,muscle,3,2,300,0.126,
86,Ti,muscle,1,1,300,0.139,
86,Ti,muscle,1,2,300,0.148,
86,Ti,muscle,2,1,300,0.145,
86,Ti,muscle,2,2,300,0.144,
86,Ti,muscle,3,1,300,0.157,
86,Ti,muscle,3,2,300,0.158,
140,Ti,muscle,1,1,300,0.145,
140,Ti,muscle,1,2,300,0.147,
140,Ti,muscle,2,1,300,0.14,
140,Ti,muscle,2,2,300,0.138,
140,Ti,muscle,3,1,300,0.144,
140,Ti,muscle,3,2,300,0.148,
188,Ti,muscle,1,1,300,0.145,
188,Ti,muscle,1,2,300,0.147,
188,Ti,muscle,2,1,300,0.145,
188,Ti,muscle,2,2,300,0.152,
188,Ti,muscle,3,1,300,0.16,
188,Ti,muscle,3,2,300,0.149,
